"ifam","zygosity_2G","sex_2","sex_1","predicted_emotional11r_2","predicted_emotional13r_2","EMPQ_emotional11r_2","EMPQ_emotional13r_2","predicted_cognitive11r_2","predicted_cognitive13r_2","EMPQ_cognitive11r_2","EMPQ_cognitive13r_2","predicted_emotional11r_1","predicted_emotional13r_1","EMPQ_emotional11r_1","EMPQ_emotional13r_1","predicted_cognitive11r_1","predicted_cognitive13r_1","EMPQ_cognitive11r_1","EMPQ_cognitive13r_1"
"gs7166","MZ",2,2,-0.19199189542123,0.0513594753500352,-1.19128356709756,-0.0637890270772734,-0.157606592363747,-0.20804773600007,0.301921537913819,-0.0400477995500005,-0.21942242905272,NA,0.445080068902442,NA,0.196298813467073,NA,-0.69807846208618,NA
"gs7170","DZ",1,1,-0.284660308170395,-0.525166515792344,-1.05752084104635,-1.13182017008136,-0.157957452005781,0.0687367024077644,-0.349476557846701,-0.278204807393701,-0.169018789172635,-0.524832435958944,-0.693884478046347,-1.72272926108136,-0.0972318164402504,0.116334319834424,1.0949678861533,0.9440174146063
"gs7192","DZ",2,2,0.0308358378261005,NA,-0.100374476097559,NA,0.0533518933885831,NA,0.0796993159138193,NA,-0.13839223082563,0.227699106789145,0.172352795902441,-0.0637890270772734,0.0792115866319831,0.04313559458644,0.74636598291382,-0.37338113255
"gs7203","DZ",2,2,-0.0552478765753095,0.189937627477675,-0.373101749097559,0.299847336922727,-0.193388252606237,0.0808960545544997,-0.25363401708618,-0.26227002155,0.17239757652188,0.141274812857355,-0.282192658097558,-0.245607208077274,0.270258559886963,0.00687054607536998,0.41303264891382,0.29328553345
"gs7225","DZ",2,1,-0.172114036056559,0.164021954860335,-0.373101749097559,0.118029154922726,-0.101848157830617,0.30354892292063,0.19081042691382,0.51550775645,-0.557834524223455,-0.489405353764135,-1.33024811404635,-1.04091107908136,-0.398592040900421,-0.101068967863526,-0.0161432248467011,-0.0559825853937007
"gs7240","DZ",2,1,0.243012266250221,0.181857935071865,-0.100374476097559,0.572574609922726,0.103227208223803,0.0706997686440003,-0.15641179508618,0.07106331145,0.518071908821545,0.287832418880646,0.760660976953653,1.04999801191864,0.34398273191151,0.354621981597984,-0.460587669846701,1.0551285256063
"gs7295","DZ",1,2,-0.0288307891630347,0.381815745612685,0.0333882499536528,0.322725283918635,0.283827037373539,0.413182993931624,0.094967886153299,0.610684081606299,0.131590598048281,0.402099279227045,0.717807341902441,0.390756427922726,0.384800539192423,0.33040119040258,0.85747709391382,0.29328553345
"gs7310","MZ",1,1,-0.0257492629855648,0.226963893705155,-0.239339023046347,0.413634374918635,0.0118579430953595,0.0769931380884438,0.317190108153299,0.388461858606299,-0.0442294323039346,-0.327540018914855,0.306115521953653,-0.586365625081365,0.0357637859785593,-0.265082408556546,-0.0161432248467011,-0.278204807393701
"gs7332","DZ",2,2,-0.128288373100829,0.539430715629165,-0.554919931097558,-0.518334481077274,0.138722716555923,0.37091490207141,-0.92030068408618,0.84884108945,0.36310786066304,0.393487909130205,-0.554919931097558,-0.336516299077273,0.268511092252863,0.34500436603407,-0.25363401708618,-0.48449224355
"gs7380","DZ",2,2,-0.22888840261553,NA,-0.464010840097559,NA,-0.082448847980247,NA,-0.92030068408618,NA,-0.0934184032902194,-0.027899374856405,-0.373101749097559,0.299847336922727,-0.124308193425807,-0.11109288565544,-0.25363401708618,-0.15115891055
"gs7413","DZ",2,NA,NA,0.394337637161505,NA,0.481665518922727,NA,0.2468731920056,NA,-0.37338113255,NA,NA,NA,NA,NA,NA,NA,NA
"gs7450","DZ",2,1,-0.113622019467089,-0.144117644333265,-0.373101749097559,-0.154698117077274,0.123040828648083,0.20224390813083,0.52414376091382,0.40439664545,0.0263263996979551,-0.108135120997605,0.942479158953652,0.377270738918635,0.318719574999579,0.281864075886314,0.650523442153299,0.9440174146063
"gs7461","DZ",2,2,-0.131637773846819,-0.223331976157385,-0.282192658097558,-0.427425390077273,-0.122006490408947,-0.19590647703209,-0.0314117950861803,-0.15115891055,0.0691351455959806,-0.0763512215679748,0.354170977902441,0.208938245922726,0.0592238916553225,0.11006230243496,-0.0314117950861803,0.29328553345
"gs7472","DZ",1,2,0.212796229752246,-0.0405259367466044,0.215206431953653,0.777270738918635,0.385827838464539,0.100735100848724,1.0949678861533,0.0551285256062993,0.3224395343752,-0.112526242253575,0.263261886902441,-1.60924357207727,0.298302116399293,0.10059743016185,0.19081042691382,-0.59560335455
"gs7553","MZ",2,2,-0.272230277173209,-0.370656371766625,-1.64582902209756,-0.791061754077274,-0.089836951937637,-0.51430446409655,-1.36474512808618,-1.48449224355,-0.0401664964930195,-0.028291677566325,-0.464010840097559,-0.336516299077273,0.140611100357813,0.0802822454139998,-0.92030068408618,0.07106331145
"gs7564","DZ",2,2,0.27950895843164,0.403178528772425,0.899625523902442,-0.427425390077273,0.191968163338533,0.30823480808351,0.19081042691382,-0.65115891055,-0.0189859559083893,-0.207467780901405,-0.764010840097558,-0.518334481077274,0.191229939365013,-0.0472099324559796,-0.69807846208618,-0.59560335455
"gs7634","DZ",1,1,0.0894187645143155,-0.137701103997844,1.30611552195365,0.322725283918635,0.175580516310029,-0.274366598313896,0.872745664153299,0.166239636606299,0.199180708941945,0.122651820053455,0.397024612953653,-0.0409110790813644,0.0895135973326297,0.108965872316894,0.539412330153299,0.277350747606299
"gs7660","MZ",1,1,NA,0.0102568148287055,NA,-0.0409110790813644,NA,-0.340300996405486,NA,-0.5004270303937,NA,-0.281059552823165,NA,-0.131820170081365,NA,-0.475412757324406,NA,-0.389315918393701
"gs7682","DZ",1,1,0.162204336105816,0.427186400374445,0.124297340953653,0.595452556918635,0.242529166225039,0.310872615154594,0.761634553153299,0.277350747606299,-0.00445482125888454,0.0801420278380354,0.487933703953652,0.413634374918635,-0.0392840030993008,0.140542501397554,0.094967886153299,0.7217951926063
"gs7693","DZ",2,1,0.197699597952311,0.268547328867085,0.172352795902441,0.299847336922727,0.432617306549723,0.35673091437303,0.63525487191382,0.62661886745,-0.233814386095344,-0.607788711002925,-0.966611750046347,-0.677274716081365,0.13828068386447,-0.360455506294226,-0.793921002846701,-0.833760363393701
"gs7715","DZ",2,1,NA,0.0198716263196151,NA,-0.209243572077274,NA,-0.0101507807276997,NA,0.40439664545,NA,0.452733869851405,NA,0.477270738918636,NA,0.153660644426294,NA,0.0551285256062993
"gs7752","DZ",2,2,-0.15918256741826,NA,-1.37310174909756,NA,0.00562400624740291,NA,-1.25363401708618,NA,-0.30822550289287,-0.339255797061975,-0.645829022097559,-0.972879936077274,0.142815731745823,0.20059341540688,0.74636598291382,-0.15115891055
