"ifam","ID","OnlineManual","EMPQ_emotional_11","EMPQ_cognitive_11","predicted_emotional_11","predicted_cognitive_11","OnlineManual13","EMPQ_emotional_13","EMPQ_cognitive_13","predicted_emotional_13","predicted_cognitive_13","sex","zygosity","zygoAcc3"
1053,4,0,3.545454545,4.222222222,3.6966861277972,3.9393899262689,NA,NA,NA,NA,NA,1,1,1
1054,1,0,4.181818182,4.444444444,3.71249399932546,4.13015362503425,0,3.818181818,4.555555556,3.56214597465629,3.88707128953734,1,3,2
1054,4,0,3.181818182,3.555555556,3.33102897266254,3.90446992146725,0,3.363636364,4,2.95918245146601,3.84554041303918,2,3,2
1055,1,0,4,4.444444444,3.54135500242141,4.2305967460563,0,3.272727273,4.111111111,3.32711527834626,4.24618551822749,2,2,1
1055,4,0,2.636363636,3.888888889,3.27205817446406,3.90327592614684,0,3.181818182,3.888888889,3.55264375234293,4.30600521819733,2,2,1
1056,1,0,3.272727273,4.111111111,3.24025718434496,3.76747156629359,0,3.909090909,3.777777778,3.43037337275213,3.83328660440033,1,1,1
1056,4,0,2.636363636,3,3.3437651141131,3.8759640071097,0,3,3.777777778,3.62658321571646,3.9862898946922,1,1,1
1058,1,0,3.363636364,3.222222222,3.24359515895934,3.56305760086623,NA,NA,NA,NA,NA,2,1,1
1058,4,0,4.090909091,3.666666667,3.48230608766407,3.88730236830397,NA,NA,NA,NA,NA,2,1,1
1062,1,0,3.090909091,4.555555556,3.28266457185864,3.83935337962753,NA,NA,NA,NA,NA,1,1,1
1062,4,0,3.545454545,3.666666667,3.46110261646804,4.14323655414344,NA,NA,NA,NA,NA,1,1,1
1063,1,NA,NA,NA,NA,NA,0,4.363636364,4.888888889,3.80618649968736,4.25419259960329,2,3,2
1064,1,0,3.181818182,4.111111111,3.17426116965609,3.9409877742082,0,3.545454545,4.111111111,3.41284435861853,4.17267262693716,2,2,1
1064,4,0,4.181818182,4.666666667,3.52477233345681,4.08969023423172,0,4,4.555555556,3.77851594540219,4.13087131074421,2,2,1
1066,1,0,3.181818182,4.333333333,3.2877764816689,3.78641175436243,NA,NA,NA,NA,NA,2,1,1
1066,4,0,3.636363636,3.888888889,3.59304032309877,3.95447621742318,NA,NA,NA,NA,NA,2,1,1
1067,1,NA,NA,NA,NA,NA,0,3.545454545,4.111111111,3.47875365607383,4.13956295562504,1,1,1
1067,4,NA,NA,NA,NA,NA,0,3.272727273,3.555555556,3.48024721776892,3.8815024977712,1,1,1
1068,1,0,3.636363636,3.777777778,3.24547358344225,3.73322334798882,0,3.727272727,3.777777778,3.43758150534647,3.97141918729498,2,1,1
1068,4,NA,NA,NA,NA,NA,0,3.272727273,4.444444444,3.6483160662786,4.05771070489174,2,1,1
1069,1,0,3.636363636,3.777777778,3.26331646998501,3.66318139675202,0,2.545454545,3.666666667,2.95370566549246,3.83309146378304,1,1,1
1069,4,0,3.636363636,3.333333333,3.26681909086729,3.81973454283121,0,3,3,3.1484881654829,3.87467122044482,1,1,1
1071,1,0,3.272727273,3.333333333,3.47626103442281,3.91970627928479,0,2.818181818,3.222222222,2.78923827205911,3.97609404162298,1,2,1
1071,4,0,2.909090909,4,3.16567734772003,3.90505912859043,NA,NA,NA,NA,NA,1,2,1
1072,1,NA,NA,NA,NA,NA,0,3.181818182,4.111111111,3.1089446758384,3.88168804337743,1,2,1
1072,4,NA,NA,NA,NA,NA,0,2.909090909,3.666666667,3.1636873537236,3.99192588540388,1,2,1
